# item	band	theme	impact	effort	time	uncertainty
# Row order = grooming/creation order (P0 first, then P1 build order, P2 by theme, P3).
# band → Vikunja priority: P0=5 P1=4 P2=3 P3=2. Sourced from docs/backlog.md item numbers.
12	P0	core	H	S	hours	low
21	P1	data	H	M	days	low
22	P1	data	H	S	hours	low
23	P1	data	H	M	days	low
24	P1	data	M	S	hours	low
25	P1	data	H	S	hours	low
11	P1	core	H	M	days	low
13	P1	core	H	M	days	med
15	P1	core	H	M	days	med
17	P1	core	H	M	days	med
19	P1	core	M	S	hours	low
1	P1	ingest	H	M	days	low
2	P1	ingest	H	S	hours	low
3	P1	ingest	H	M	days	low
4	P1	ingest	H	S	days	low
7	P1	ingest	H	S	hours	low
8	P1	ingest	H	M	days	med
6	P1	ingest	H	M	days	med
31	P1	spi	H	M	days	med
32	P1	spi	H	M	days	med
36	P1	spi	M	S	hours	low
39	P1	teams	H	M	days	med
46	P1	execution	H	L	weeks	med
47	P1	execution	H	S	days	low
48	P1	execution	H	M	days	med
49	P1	execution	H	S	hours	low
50	P1	execution	M	S	hours	low
51	P1	execution	H	S	hours	low
52	P1	execution	M	S	hours	low
55	P1	execution	H	M	days	med
59	P1	harness	H	S	days	low
62	P1	harness	H	M	days	med
20	P1	core	M	M	days	low
73	P1	security	M	S	hours	low
77	P1	security	M	S	hours	low
81	P1	observability	H	M	days	low
83	P1	observability	H	M	days	low
85	P1	observability	H	S	days	low
87	P1	testing	H	M	days	low
88	P1	testing	H	M	days	low
89	P1	testing	H	L	weeks	med
92	P1	testing	M	S	hours	low
5	P2	ingest	M	S	days	low
9	P2	ingest	H	M	days	high
10	P2	ingest	M	M	days	med
14	P2	core	M	S	hours	low
16	P2	core	M	M	days	med
18	P2	core	M	S	hours	low
26	P2	data	M	S	days	low
27	P2	data	M	S	hours	low
28	P2	data	M	S	hours	low
29	P2	data	M	M	days	low
30	P2	data	M	S	days	low
33	P2	spi	M	M	days	med
34	P2	spi	M	S	days	low
35	P2	spi	M	S	days	low
37	P2	spi	M	S	days	low
38	P2	spi	L	S	hours	low
40	P2	teams	M	M	days	low
41	P2	teams	M	M	days	med
43	P2	teams	H	M	days	high
44	P2	teams	M	M	days	med
53	P2	execution	M	S	hours	low
54	P2	execution	M	S	days	low
56	P2	execution	M	S	hours	low
57	P2	execution	M	M	days	med
60	P2	harness	M	S	days	low
61	P2	harness	M	S	hours	low
63	P2	harness	M	M	days	med
65	P2	harness	M	M	days	med
66	P2	harness	M	S	hours	low
67	P2	harness	H	L	weeks	high
68	P2	harness	M	M	days	med
69	P2	harness	M	M	days	med
70	P2	harness	M	S	days	med
71	P2	security	H	M	days	med
74	P2	security	M	S	days	med
75	P2	security	H	M	days	med
76	P2	security	M	M	days	med
79	P2	security	M	M	days	low
80	P2	security	M	M	days	low
82	P2	observability	M	M	days	low
84	P2	observability	M	S	days	low
86	P2	observability	M	S	hours	low
90	P2	testing	H	M	days	med
91	P2	testing	M	S	days	low
93	P2	testing	M	M	days	low
94	P2	dx	H	M	days	low
95	P2	dx	H	M	days	med
96	P2	dx	M	M	days	low
97	P2	dx	M	S	days	low
99	P2	dx	M	S	hours	low
42	P3	teams	L	M	days	med
45	P3	teams	M	M	days	high
58	P3	execution	M	L	weeks	high
64	P3	harness	M	L	weeks	high
72	P3	security	L	M	days	med
78	P3	security	M	M	days	high
98	P3	dx	M	S	days	low
100	P3	dx	L	S	hours	low
